House Number,ข้อมูลการใช้ไฟฟ้า,ข้อมูลการใช้น้ำบริโภค-แหล่งที่มา,ข้อมูลการใช้น้ำบริโภค,ข้อมูลการใช้น้ำอุปโภค-แหล่งที่มา,ข้อมูลการใช้น้ำอุปโภค,ลักษณะของบ้าน,จำนวนที่ดินทำกิน (ไร่)-เป็นเจ้าของ,จำนวนที่ดินทำกิน (ไร่)-เช่า
161,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,น้ำบ่อ,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,200,
162,มีและมีหม้อมิเตอร์เอง,"น้ำจากหมู่บ้าน,น้ำตู้",มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,26,
165,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,30,
166,มีและมีหม้อมิเตอร์เอง,สหกรณ์,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,16,
170,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,บ่อน้ำส่วนตัว",มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,30,
171,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,5,
172,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,บ่อน้ำ",มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,25,
174,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,,20
175,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,20,
176,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,,
179,มีและมีหม้อมิเตอร์เอง,น้ำดื่มในหมู่บ้าน,มีดื่มตลอดปี,"ประปา,ขุดบ่อเอง",มีใช้ตลอดปี,บ้านสองชั้น,99,
180,มีและมีหม้อมิเตอร์เอง,น้ำดื่มดิบ(ถาวร),มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,9ไร่2งาน,
182,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,25,
183,มีและมีหม้อมิเตอร์เอง,โรงน้ำดื่มหมู่บ้าน,มีดื่มตลอดปี,บ่อน้ำส่วนตัว,มีใช้ตลอดปี,อื่นๆ,30,5~6
185,มีและมีหม้อมิเตอร์เอง,ซือ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,30,
190,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,น้ำบ่อ",มีใช้เป็นช่วงๆ,บ้านสองชั้น,25,
191,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,16,
192,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,บ่อน้ำ,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,,
194,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นครึ่งติดพื้น,11,
195,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นครึ่งติดพื้น,9,
198,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,,
199,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,น้ำบ่อ",,บ้านชั้นเดียวยกพื้น,10,1
204,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,บาดาล,มีใช้เป็นช่วงๆ,บ้านชั้นครึ่งติดพื้น,12,
206,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,น้ำปั๊ม",มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,15,
207,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,,มีใช้เป็นช่วงๆ,ชั้นครึ่ง,38,
209,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,39,
211,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,40,
215,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,บ่อน้ำธรรมชาติ,มีใช้ตลอดปี,บ้านสองชั้น,3,
216,มีและมีหม้อมิเตอร์เอง,ซิ้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,4,
218,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,20,
220,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นเดียวยกพื้น,15,
221,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,บ่อน้ำ ,มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,2.5,
224,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,30,
226,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นครึ่งติดพื้น,,
227,มีและมีหม้อมิเตอร์เอง,โรงน้ำดื่มในหมู่บ้าน,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,2,
228,มีจากแหล่งอื่น(ต่อสายไฟจากส่วนกลาง),ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,21,
231,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านสองชั้น,25,
232,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นครึ่งติดพื้น,45,
239,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,12,
240,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,บ่อน้ำ",มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,19,
241,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,18,
242,ไม่มี,ถาวรพัฒนา,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,30,
243,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,18,
248,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นครึ่งติดพื้น,25,
251,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,20,
